first_name,match_query,score
David,David,100.0
Robert,Robert,92.3076923076923
Mary,Mary,100.0
Brenda,Brenda,100.0
Joe,Joe,75.0
April,April,100.0
Colton,Colton,100.0
Joseph,Joseph,100.0
Michelle,Michelle,100.0
Mary,Mary,100.0
Gail,Gail,100.0
Lauren,Lauren,100.0
Alan,Alan,100.0
Douglas,Douglas,100.0
Daniel,Daniel,100.0
Christopher,Christopher,100.0
Haley,Haley,100.0
Alexis,Alexis,100.0
Deborah,Deborah,100.0
Brenda,Brenda,100.0
Paul,Paul,100.0
Steven,Steven,100.0
Adrian,Adrian,100.0
Kristin,Kristin,100.0
Gerald,Gerald,100.0
Susan,Susan,100.0
Gary,Gary,100.0
Joyce,Joyce,100.0
Allison,Allison,100.0
Jamie,Jamie,100.0
Kimberly,Kimberly,100.0
Elizabeth,Elizabeth,100.0
Shelly,Shelly,100.0
Jacob,Jacob,100.0
Roberto,Roberto,100.0
Karen,Karen,100.0
Anthony,Anthony,100.0
Breanna,Breanna,100.0
Nicholas,Nicholas,100.0
Christopher,Christopher,100.0
Nicole,Nicole,100.0
Anna,Anna,100.0
Donna,Donna,100.0
Denise,Denise,100.0
Michael,Michael,100.0
Daniel,Daniel,100.0
Jason,Jason,100.0
Stephanie,Stephanie,100.0
Kristin,Kristin,100.0
Bradley,Bradley,100.0
Lance,Lance,100.0
Paul,Paul,100.0
Jessica,Jessica,100.0
Thomas,Thomas,100.0
Scott,Scott,100.0
Robert,Robert,92.3076923076923
Robert,Robert,92.3076923076923
Gabrielle,Gabrielle,70.58823529411765
Christina,Christina,90.0
Cristian,Cristian,94.11764705882354
Thomas,Thomas,100.0
Duane,Duane,72.72727272727273
Shelley,Shelley,92.3076923076923
Steve,Steve,90.9090909090909
Kim,Kim,90.0
Janice,Janice,77.14285714285715
Deborah,Deborah,100.0
Jessica,Jessica,100.0
Bailey,Bailey,76.92307692307692
Gregory,Gregory,100.0
Lisa,Lisa,100.0
Stephen,Stephen,76.92307692307692
Douglas,Douglas,100.0
Jeremy,Jeremy,100.0
Erica,Erica,76.92307692307692
Mary,Mary,100.0
Danielle,Danielle,100.0
Amber,Amber,72.0
Denise,Denise,100.0
Deborah,Deborah,100.0
Michael,Michael,100.0
Nicole,Nicole,100.0
Kristin,Kristin,100.0
Sandra,Sandra,80.0
Aaron,Aaron,72.0
Carl,Carl,77.14285714285715
Daniel,Daniel,100.0
Jerry,Jerry,72.72727272727273
Brandi,Brandi,72.72727272727273
Mark,Mark,100.0
Rachel,Rachel,92.3076923076923
Willie,Willie,76.92307692307692
Amy,Amy,72.0
Marissa,Marissa,77.14285714285715
John,John,77.14285714285715
Elizabeth,Elizabeth,100.0
Charles,Charles,100.0
Nathaniel,Nathaniel,90.0
Brandon,Brandon,71.42857142857143
Jaime,Jaime,80.0
Jay,Jay,72.0
Steven,Steven,100.0
Mary,Mary,100.0
Kelly,Kelly,72.72727272727273
Andre,Andre,100.0
David,David,100.0
Amanda,Amanda,100.0
Jacob,Jacob,100.0
Jessica,Jessica,100.0
Joseph,Joseph,100.0
Virginia,Virginia,100.0
Marvin,Marvin,77.14285714285715
Patrick,Patrick,100.0
Sue,Sue,72.0
Kimberly,Kimberly,100.0
Beth,Beth,90.0
Patrick,Patrick,100.0
Theresa,Theresa,92.3076923076923
Andrew,Andrew,90.9090909090909
Terry,Terry,80.0
Clayton,Clayton,76.92307692307692
Mary,Mary,100.0
Marcus,Marcus,77.14285714285715
Nicholas,Nicholas,100.0
Michael,Michael,100.0
Philip,Philip,100.0
Adrian,Adrian,100.0
Logan,Logan,72.0
Patrick,Patrick,100.0
April,April,100.0
John,John,77.14285714285715
Ronnie,Ronnie,83.33333333333334
Douglas,Douglas,100.0
Christopher,Christopher,100.0
Aaron,Aaron,72.0
Herbert,Herbert,100.0
Adrian,Adrian,100.0
Michael,Michael,100.0
Robert,Robert,92.3076923076923
Angela,Angela,72.0
Richard,Richard,100.0
Kevin,Kevin,100.0
Jenny,Jenny,80.0
Zachary,Zachary,100.0
Diane,Diane,72.72727272727273
Christopher,Christopher,100.0
Amanda,Amanda,100.0
Beth,Beth,90.0
Joseph,Joseph,100.0
Wanda,Wanda,100.0
Joseph,Joseph,100.0
Timothy,Timothy,100.0
John,John,77.14285714285715
Hannah,Hannah,90.0
Alec,Alec,100.0
Brian,Brian,100.0
April,April,100.0
Andrew,Andrew,90.9090909090909
Andrew,Andrew,90.9090909090909
Natalie,Natalie,72.0
Joshua,Joshua,100.0
Susan,Susan,100.0
